wave_type,mean,max,min,sign,disorder
Theta,-45.82917006950458,-29.729942873723537,-65.50499736284847,negative,anxiety
Gamma,14.455329331211104,24.557934240652852,3.9053369820299384,positive,stress
Beta,23.341907577304568,41.70313411032494,3.69843934589575,positive,insomnia
Alpha,1.1945443985017619,8.93553625155381,-0.8690320977161341,positive,anxiety
Gamma,4.629378539939985,21.05458392852495,-13.693408530962202,positive,insomnia
Alpha,-41.936713443994435,-35.736922803578494,-48.70944098278393,negative,stress
Alpha,-36.15185262080299,-26.310711113103558,-47.84467011641421,negative,neutral
Delta,38.94805052640757,45.31330203626406,30.787024289373665,positive,anxiety
Alpha,-0.38253474787561714,19.340785380756092,-12.622886069618998,negative,insomnia
Alpha,28.264953901275945,39.7800806606007,15.318296417621717,positive,neutral
Delta,14.089786990435854,14.895810625017248,-0.34330775284963266,positive,neutral
Beta,-35.75937874712793,-30.883300527000113,-47.351524093650134,negative,anxiety
Gamma,15.914979571449251,18.73799103035168,2.7183906227089114,positive,anxiety
Delta,-28.128213741289265,-9.662491621128535,-34.224806019141354,negative,stress
Theta,39.30067221926814,57.58473814605473,22.716351145756708,positive,stress
Gamma,-19.52828654709625,-3.2221117414187894,-30.904653350928065,negative,stress
Gamma,8.905099930397128,24.53820052980496,5.96150362635182,positive,anxiety
Beta,10.01625388696037,10.849784631751294,-4.482977742970043,positive,anxiety
Beta,-28.35221056301457,-14.468927932348384,-32.469928167512215,negative,depression
Theta,47.23715957143685,57.00386229670629,41.40162959524557,positive,insomnia
Delta,-29.858469548407072,-19.16708960099944,-35.94820372410808,negative,neutral
Theta,-4.557994007926084,-1.2690231963599228,-9.623499827097277,negative,anxiety
Beta,46.02430432732328,48.060877201802164,37.70646536930926,positive,anxiety
Delta,-26.757023641992937,-20.149546737969825,-35.182775061815704,negative,neutral
Gamma,25.536166788297834,35.993552277459756,21.68643941367867,positive,anxiety
Alpha,-25.2734013936471,-18.660827366249904,-37.21769255589141,negative,insomnia
Delta,38.549064356521,51.394106062749515,32.07673076729824,positive,insomnia
Delta,-40.911137650343534,-23.67180787264777,-49.666888855456286,negative,stress
Delta,49.69281477201733,58.47165440563026,46.78954003458433,positive,stress
Beta,25.014658117969276,37.12393172300994,16.495521320231692,positive,depression
Delta,16.044108220803807,23.34156362946873,13.81074625612047,positive,anxiety
Beta,8.715219438860679,26.052027531085937,-0.49981175301819825,positive,insomnia
Beta,-49.681216562687666,-45.28876955936117,-61.47013567672977,negative,anxiety
Delta,-18.648619330133553,-6.291287964357691,-25.826217227328662,negative,stress
Alpha,5.8326021821468075,8.375983651643491,2.6394200908220875,positive,depression
Delta,-22.080363084611975,-20.596944947059793,-28.052597227097124,negative,stress
Alpha,-24.89765365601565,-22.55829643889421,-30.02738684270255,negative,anxiety
Theta,30.262284326222456,39.084627464881166,28.368914869866313,positive,stress
Beta,-8.365851215326671,-7.130620804300069,-24.868604809638956,negative,neutral
Theta,-32.89537517047151,-22.121718932346884,-34.27088023465518,negative,depression
Delta,-26.823352123498413,-19.311769041647377,-32.81349536835333,negative,neutral
Beta,21.094635446466086,34.532736948697384,5.050037493281685,positive,depression
Alpha,8.558837646255569,24.077649009471887,-1.0221551651492629,positive,anxiety
Delta,-21.682156243644425,-20.420131721606143,-33.80815740852895,negative,neutral
Delta,-48.895669503406424,-30.788197368119054,-58.22202163460995,negative,depression
Gamma,22.387333069057362,33.075605051285244,21.39875771529614,positive,insomnia
Theta,-37.06850203011339,-21.06567996736891,-40.99945455460261,negative,insomnia
Gamma,-29.07620960952979,-28.228344098236146,-36.55719831323829,negative,depression
Delta,27.927324031734486,32.10943444006509,12.483947887879564,positive,anxiety
Delta,24.345227902264213,33.24617391681563,7.043788060100287,positive,depression
Beta,45.52693334344302,55.076095030471635,34.862194212378384,positive,depression
Beta,-44.608791163773546,-29.653577802104138,-50.37964150834789,negative,insomnia
Gamma,-48.59474890327555,-39.11652702732287,-64.33500652697296,negative,depression
Alpha,35.9664127232416,39.70911925791893,24.930799855886807,positive,insomnia
Alpha,2.338348181362747,14.925708257856325,-0.820253862310715,positive,insomnia
Theta,-42.68537633694933,-37.752898379274086,-45.12885929139856,negative,neutral
Gamma,-24.281898177243654,-10.28621686727831,-40.059664822488756,negative,neutral
Gamma,34.17078307947466,40.042988661056334,29.634843267346906,positive,anxiety
Alpha,38.15253499646715,48.362945464583085,30.336334749730504,positive,depression
Beta,3.522956657494177,15.902901144617887,3.4129970303753563,positive,neutral
Alpha,-44.34379772866536,-27.928618381403446,-57.88742082390118,negative,stress
Theta,13.399610440603162,15.914743408530907,0.3207795917801377,positive,depression
Gamma,-19.58310542331536,-6.2216517156449775,-23.62501438700332,negative,depression
Theta,6.620522198514514,19.71167699233725,4.50807185330128,positive,depression
Delta,-4.118719978440147,7.5851582134934965,-23.80054976968964,negative,stress
Alpha,32.04703167259689,51.1541236031364,19.04066895969849,positive,anxiety
Gamma,48.63039459516038,55.14453311240081,36.125542837889455,positive,insomnia
Alpha,19.24477527188023,28.495069995768667,12.77128570988711,positive,anxiety
Beta,19.63210597213437,27.329417633088983,6.028065444048561,positive,neutral
Gamma,-24.21463690867478,-7.2163835571628425,-42.641169680643394,negative,stress
Alpha,5.741435153624948,24.361453160690687,-2.5246353692765027,positive,depression
Beta,-31.213927171868626,-27.40807912808476,-34.95127302894331,negative,insomnia
Beta,-47.59977425750296,-36.73959277035506,-65.82020593305175,negative,neutral
Delta,34.07892041279817,42.85496390337778,27.900359811280104,positive,insomnia
Gamma,-11.047292808039963,1.7612935776382646,-23.157505279494295,negative,stress
Delta,19.529097693321518,33.75552791820199,15.314509800798836,positive,anxiety
Delta,-10.290772766641687,-6.6752858039816525,-11.554845946238181,negative,stress
Alpha,-21.056886729717796,-16.486961741669177,-21.938369229502825,negative,depression
Delta,-20.078941388730264,-1.9642474516107455,-39.4857390882882,negative,stress
Alpha,7.4287588400327,21.476775645485777,-0.21623769873777476,positive,stress
Gamma,-44.1124845867195,-35.99720146792643,-47.202111699574374,negative,depression
Delta,-26.708458921134348,-20.013126123142506,-44.34970798276174,negative,stress
Delta,46.62579595056843,61.66688652981897,43.5611600585147,positive,depression
Delta,-27.56140614818301,-16.167791051275778,-40.21496742372925,negative,depression
Delta,25.031361307497235,41.982502726597374,7.669767484611427,positive,neutral
Beta,6.115344743933363,10.814928559019611,0.025527864686986312,positive,neutral
Alpha,36.22912648437067,39.61735495078156,33.85125952853276,positive,neutral
Alpha,-38.025203463475876,-24.787118779743714,-51.15011092254325,negative,stress
Alpha,-37.72153817664227,-27.624212908683617,-41.07898109543939,negative,neutral
Theta,23.9499160903638,24.091976728105138,12.674614313720006,positive,depression
Alpha,2.1797457784597043,3.8410929007901586,-9.762247735961823,positive,neutral
Alpha,-40.59636397661267,-38.12419470906481,-46.06856870322171,negative,stress
Delta,-10.858259274699734,5.8148123903289495,-23.5890901920025,negative,depression
Beta,37.64498714161665,56.804819661013966,20.648126430413157,positive,stress
Alpha,14.790883415206721,27.703624486098942,9.736430710906488,positive,neutral
Theta,39.08570678631672,51.01431359662568,30.333646169236786,positive,depression
Gamma,-25.059176006959703,-15.84231936791248,-37.488745104833335,negative,neutral
Gamma,49.15599242380081,63.184430418616806,42.07980248694044,positive,insomnia
Delta,38.72255551131268,51.551462055494795,33.5887682697667,positive,anxiety
Gamma,5.194196572436624,18.437571176418928,2.3790489163165547,positive,neutral
Beta,-38.560850113235716,-31.01818016865971,-57.31245714471687,negative,depression
Alpha,17.04204065812148,24.101159521098985,15.565321000308984,positive,anxiety
Beta,49.429402884427816,58.03169963208808,47.67650526576625,positive,insomnia
Theta,11.070617705583807,11.605530683775914,-6.440127592133194,positive,insomnia
Theta,-29.98380439290421,-25.881609529671458,-41.8833384204887,negative,stress
Gamma,-32.09522091716114,-16.365674093311924,-40.78825170394683,negative,anxiety
Delta,-19.935032651064375,-2.869498172588724,-27.346151424721675,negative,insomnia
Delta,25.41820357898034,34.55341658206568,9.640393517156813,positive,insomnia
Theta,2.9581780364283503,22.80132129882416,-13.176547322152366,positive,depression
Gamma,16.98847237717075,32.73055795554354,-2.6079951267428605,positive,depression
Beta,43.6331110012857,59.75641265983205,25.725063472472844,positive,neutral
Delta,8.892194593091673,15.940552229961193,-5.53567325851372,positive,insomnia
Theta,-31.332733490022047,-16.850702892520548,-45.00420897970317,negative,insomnia
Beta,18.26794253880317,20.94233313263646,-1.2106828092195414,positive,neutral
Alpha,-8.642721272682685,4.460619110181831,-25.868640590487054,negative,anxiety
Alpha,1.0503631325108245,11.681433650082937,-12.724022675301054,positive,stress
Theta,40.37569272070243,52.813402949130136,24.286593698478068,positive,neutral
Alpha,49.896359408696284,52.14325590040035,48.560443143022276,positive,depression
Beta,1.4437753621336284,20.639975800680823,-6.838687757211574,positive,neutral
Theta,45.40459371455094,62.33656163949996,42.30346871088741,positive,neutral
Alpha,1.1536819201412172,9.444371279309344,-2.0502232231095854,positive,neutral
Gamma,41.464447607535234,52.60800598556782,29.37823746386728,positive,depression
Theta,-43.99405743917352,-42.306895229217766,-59.53429514558484,negative,anxiety
Beta,41.964126183799195,56.32017647781248,25.143625088321524,positive,anxiety
Alpha,23.8275227948223,32.9435405714849,6.519089508318725,positive,stress
Delta,33.38851204690452,49.405222336251036,26.474214110447612,positive,depression
Gamma,-45.87073482956207,-43.2910804503737,-54.28570888290388,negative,stress
Alpha,8.266824114210323,23.628130882763305,2.2769198040206966,positive,neutral
Theta,-7.666420497568019,5.166939092865276,-7.760020179840615,negative,depression
Beta,35.1367846689739,49.97057799770928,28.292455584264026,positive,depression
Theta,8.483450652581539,15.644150417553615,4.64621047369101,positive,anxiety
Delta,-11.655871444032563,6.795153832184795,-20.10204619887473,negative,stress
Gamma,-20.009531950292104,-3.5008098423662872,-23.075771360843145,negative,depression
Delta,-2.9289422277231836,5.044526386203114,-16.055375838564633,negative,depression
Gamma,-8.128301937586144,-1.4892403952424598,-26.31348177567126,negative,insomnia
Delta,-39.04640768287155,-38.508266809087374,-41.76525723810938,negative,anxiety
Alpha,-1.1312153305186072,3.260830104731504,-9.629913473903848,negative,anxiety
Theta,16.09140650593129,35.08767794136764,15.740235177143353,positive,neutral
Beta,47.48714030432728,54.15848027176809,37.582732678520216,positive,depression
Theta,38.474766238377654,39.563584130721665,19.475301134795217,positive,stress
Alpha,37.89938563728903,39.872783161694315,32.919318867059914,positive,depression
Beta,-33.91546378308911,-30.689919283948417,-52.59894292010408,negative,stress
Alpha,42.153357016277056,46.41029933663965,28.755625233101767,positive,stress
Theta,-48.88877702471963,-45.44094998745366,-65.62310311325271,negative,insomnia
Alpha,5.878122982059949,24.989179551724582,-2.6397361076540307,positive,anxiety
Beta,25.373547599956567,29.799401394877737,20.72625903870742,positive,anxiety
Delta,15.431505016776242,18.209592637857376,1.889679678922196,positive,neutral
Beta,-3.3136718725219723,4.959019781642628,-15.510710108463147,negative,insomnia
Gamma,-0.8951844232241939,6.787669173018182,-9.714178870178204,negative,stress
Gamma,33.24524094357896,35.704822594757815,16.179638975233416,positive,neutral
Alpha,23.64773681321836,29.286713743510838,10.955227568036946,positive,depression
Gamma,-3.7631571293953456,11.944536311400526,-18.832461585191417,negative,stress
Delta,15.985545029793244,17.45401034180744,9.617704897996186,positive,stress
Gamma,14.474918919801212,17.398574346912117,13.759666588451026,positive,stress
Gamma,45.899026322030934,54.1377028741139,29.86107184354946,positive,stress
Delta,-35.33395422885736,-33.211309688891355,-45.80011914448488,negative,neutral
Alpha,-47.32075487951703,-34.19880320697226,-55.38705409508363,negative,anxiety
Alpha,-44.26024478646862,-41.142795597423905,-51.078753657932495,negative,depression
Theta,-15.892312412345866,-11.302705883904547,-18.06926507439744,negative,anxiety
Gamma,31.15014486684001,50.26966996394776,23.992605488509195,positive,anxiety
Delta,-47.821896167412426,-33.098648861010986,-56.93967290860303,negative,stress
Theta,-22.14485701400466,-16.378057145167702,-35.5110304596036,negative,depression
Beta,-2.7186920381659903,10.035512194616995,-3.536468065085969,negative,stress
Beta,41.14182857375344,49.4094491255282,27.557628504027825,positive,insomnia
Theta,-45.06434717397497,-38.05059481149969,-46.7053352711716,negative,neutral
Gamma,13.885108271164704,23.900073387372956,1.791287239113629,positive,anxiety
Theta,1.9571356684343044,14.717399511717865,-7.029158234764704,positive,depression
Alpha,-21.407454818995973,-18.225419676541623,-25.87806815084689,negative,neutral
Beta,-12.902214677023927,-12.265837711910045,-25.34591667176074,negative,insomnia
Gamma,-36.62971212415715,-36.000182682606834,-38.8514942531623,negative,anxiety
Delta,-37.06381297264025,-24.51752190326734,-48.39939249727098,negative,anxiety
Gamma,-48.515786968811994,-40.61218884382025,-51.636178363632204,negative,neutral
Theta,-4.545346728426971,12.653179798316629,-19.846519491589966,negative,insomnia
Gamma,37.00775006025356,47.440544230079844,32.63745671739326,positive,neutral
Alpha,-5.5994647625052565,-5.0719147466210615,-15.063129359787421,negative,depression
Alpha,-49.29152790281742,-48.742129692052366,-56.71675695357977,negative,anxiety
Delta,4.224230541438345,21.74679834866354,-12.74321398413414,positive,anxiety
Gamma,-9.191416085454328,-5.931029291282618,-25.814353440102344,negative,neutral
Beta,-39.60713482720295,-25.206248782459152,-44.20335918668896,negative,neutral
Beta,9.333845023233366,9.490043212811095,-7.1708147637685435,positive,stress
Alpha,-36.458447872028714,-35.12892759669272,-48.30082518589245,negative,depression
Alpha,47.39877944959058,60.84048504784804,44.99147246637189,positive,anxiety
Beta,-49.53294763017423,-39.89981210881531,-69.23213216346507,negative,anxiety
Delta,7.617652072761992,25.020713293470898,7.486297008744696,positive,depression
Gamma,-36.95121873647512,-20.86994662337381,-48.08778854764743,negative,depression
Alpha,-38.59002975608935,-26.71290028619464,-57.92391336951026,negative,depression
Delta,-21.63990400060968,-12.32620369300918,-28.830125444091895,negative,insomnia
Alpha,4.500995926905347,6.328784195094497,-2.6329841436632284,positive,insomnia
Alpha,-21.812872208153355,-16.848800202738836,-28.686313348687378,negative,stress
Delta,4.793597302946125,6.853767046011035,-1.8558847381026506,positive,stress
Gamma,17.25959909597124,18.090852432408838,5.798397522546969,positive,stress
Gamma,-16.997669454500787,0.07395965483903666,-30.239672010729844,negative,neutral
Theta,-25.411140376484543,-23.98509323465815,-28.05776525566869,negative,insomnia
Gamma,-37.35553011117485,-19.888332748534893,-38.39603032797826,negative,stress
Theta,12.078049399872171,19.722298212654092,-2.5339195775713996,positive,depression
Gamma,-27.35016383957983,-8.219924163936714,-30.472751035713017,negative,neutral
Theta,-4.533656087022742,11.192667454153602,-13.908217455492684,negative,depression
Gamma,-26.18042056804627,-15.739595757536875,-28.79073224717099,negative,stress
Delta,43.93178877009741,48.08076474511132,40.371498730253016,positive,anxiety
Delta,8.359815427990434,19.663375076528787,6.106843025087514,positive,depression
Beta,-27.50361403321766,-10.586878551727548,-28.631471222644553,negative,depression
Beta,-8.67534291807678,-3.080667567617356,-27.515316528524377,negative,neutral
Theta,29.98961770031373,34.70933331377464,25.571755936526582,positive,stress
Beta,46.2472951850236,47.235460578147645,32.410859405543114,positive,anxiety
Delta,-16.114804543795266,-12.964702901828346,-31.82065209101705,negative,neutral
Gamma,22.01695703119688,23.776397046859913,19.95768753952251,positive,depression
Alpha,14.959146558106127,24.04063083159942,12.366763780394962,positive,neutral
Beta,-1.2781359479112169,0.95785936219507,-15.16107283356156,negative,neutral
Beta,-38.351904966673345,-27.164223266549016,-41.560399350080985,negative,neutral
Delta,39.666325942431655,49.100295683041864,35.540806744392796,positive,depression
Alpha,-1.719890024210713,11.011719308837542,-20.34302333759474,negative,stress
Alpha,12.038876973373533,29.00245751870419,10.290332298904303,positive,depression
Theta,-8.207658540056762,4.006094669376921,-20.23846240110654,negative,anxiety
Delta,-9.126148196716386,0.26147515922986386,-12.951761829003964,negative,depression
Delta,35.103256344763764,45.73421503713223,31.544670272400367,positive,depression
Delta,-18.237238742215713,-18.139704535013667,-34.174171604218216,negative,neutral
Alpha,7.340233052946488,11.31045081926266,-12.32355791745302,positive,insomnia
Gamma,45.19570324231252,62.38848634571623,44.12713500695567,positive,stress
Beta,-34.55696978546936,-24.384078735180648,-38.99919044912302,negative,insomnia
Alpha,9.677084601114395,22.540265377009877,-6.296450453990428,positive,stress
Gamma,33.73185024404022,45.616242854266474,33.13926752587166,positive,stress
Gamma,23.218462866999786,33.55515968201642,19.274815604520974,positive,insomnia
Delta,-26.18661963682497,-17.052536911308955,-30.09984017383733,negative,insomnia
Theta,-27.904130396388418,-9.211885463572486,-40.13676641797303,negative,neutral
Theta,2.777301706731407,20.83086156319723,-4.525821770738839,positive,neutral
Gamma,45.327500515060336,52.20446829382578,32.30964356686912,positive,insomnia
Gamma,-6.547248379319051,7.294222841114163,-18.96109357438706,negative,neutral
Alpha,-25.663015575261873,-5.795558229815761,-41.01459557744093,negative,stress
Theta,32.44451070673968,52.08689994410976,32.03390391389989,positive,stress
Beta,12.84939372620245,17.43066904153505,1.3706034741290534,positive,neutral
Gamma,-26.675695311122084,-13.67098440890336,-32.812594024406096,negative,insomnia
Beta,-13.948598361996204,5.731286775081571,-14.271464591828146,negative,stress
Alpha,47.6202850238262,55.807870748283406,39.85091285317211,positive,neutral
Theta,32.65811727721821,49.070178036239525,31.310633989736267,positive,insomnia
Theta,25.73462390511051,29.59871659194047,15.019727891722905,positive,stress
Theta,23.112153508611954,28.923744903804568,22.452711850466727,positive,anxiety
Beta,-23.318380426036565,-15.351332198887675,-43.233549526224614,negative,insomnia
Gamma,6.181396459924379,24.431084660200334,-2.1954944871275472,positive,anxiety
Gamma,45.05602956525003,47.767025080630624,43.83250202005767,positive,stress
Alpha,-5.52982396192585,3.0429189576220708,-9.242444571922068,negative,anxiety
Delta,40.16061370947925,50.10232334902895,35.53371318901745,positive,stress
Gamma,8.503725900254977,15.384808428506611,2.8497104113180303,positive,depression
Delta,46.3285049880178,58.27726466863683,45.95200782869436,positive,insomnia
Theta,-31.898750750891057,-31.6125781780135,-48.57787176893589,negative,neutral
Alpha,2.1285709789602123,3.1577863027430872,-8.572471637226998,positive,stress
Alpha,36.84180477619434,50.98024698936915,27.778525581203464,positive,depression
Alpha,40.775153779318416,50.52612862713498,39.78107379335381,positive,depression
Delta,18.077106330219024,28.95962931344827,10.50485361795926,positive,depression
Theta,36.280814528561635,50.11179525861209,25.960995135580365,positive,neutral
Beta,25.48536941156486,40.55537073045887,8.803231061628345,positive,anxiety
Alpha,-33.690162932618904,-21.720232903211787,-48.02403901719814,negative,depression
Delta,43.691835152194955,61.94559065054178,25.375004976119744,positive,stress
Beta,-11.72755041987076,2.976020916046309,-18.23310304701802,negative,insomnia
Theta,-47.08212837904363,-43.2318714438882,-53.59591410674032,negative,neutral
Delta,-24.835439138723604,-9.093966963384872,-30.196336448462052,negative,stress
Delta,-48.17045607043349,-37.669057072322005,-52.899031879685495,negative,depression
Theta,-0.39669619135438694,5.0768960460878105,-19.469511018311906,negative,depression
Theta,9.027475638521985,12.490181284078538,-6.56131532369683,positive,insomnia
Theta,-20.25229219162713,-11.054674371392505,-21.120426239597748,negative,anxiety
Alpha,40.79503606249507,55.25003464061824,34.816315755546476,positive,anxiety
