wave_type,mean,max,min,sign,disorder,danger_level,recommended_measure
Delta,29.182779061054916,40.4749259379718,13.947956219797994,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-33.80294291877798,-26.301355160000508,-35.74639735575786,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-2.5500542609343952,11.285451822165092,-8.34931841078821,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,44.30276653326611,60.1112135435167,33.20541825364597,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,18.180306258030427,37.28612390554008,15.590648321642139,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-25.572075377242555,-8.432758371871163,-36.518208976083486,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,13.334979357030662,22.819696564672533,8.23939857146821,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-4.807858160092181,-1.861403623560712,-12.246444864317494,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-2.1680457567077482,8.456676332005754,-19.990370759900948,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-14.813216250744745,-1.257186974031768,-28.54245730682609,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,19.21316748552138,39.10399608374059,6.458443364217015,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-13.562400985472188,1.7669379392634568,-14.33187642013894,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,32.887671310756645,45.43211905267441,19.170824547601043,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-19.77231793082247,-0.7959679981625456,-37.24414429995011,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,41.47997596131525,48.388423181685646,37.01789773874391,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,0.13164692582593318,11.94392844788552,-18.668116538482057,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,19.177015472912615,21.62775313763711,4.138246900794158,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,4.354179218610753,9.225993745513032,-2.3603454339464545,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-29.171097821707082,-14.465285809921632,-46.84905818500148,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,19.14839820839221,23.36895826676686,14.927924018945884,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,42.206226856350526,46.074627247847594,35.715945573766604,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-8.443456468026021,-1.5122235492977447,-28.0540071003334,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,40.09544423401459,46.25252516556192,32.83645168067658,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-46.53964786538099,-44.98820961945915,-47.57571130369133,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,48.2530963710083,65.93556281328196,46.30097163983936,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-2.4135616082785702,12.384531476298964,-8.689861504623966,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,34.40958792138605,36.515104386768485,26.849192385580732,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-34.63267692499065,-28.750797210563125,-39.0426710646286,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-18.52671066602305,-9.368655220403493,-22.7321974022302,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,4.870723943212006,6.814579958542451,-7.80856589369397,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,28.441919484442167,37.04131672640287,27.555911165423957,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-45.84142850997094,-44.89270269029069,-56.536564248163735,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,48.9919738016135,60.50971317459178,39.757092709282745,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-36.3121965420394,-26.328468399743794,-39.79852239075885,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-21.346078527600554,-6.698878150634247,-23.683801283811224,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,21.553440284755425,37.357555561613005,12.08343059547984,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,7.1656151106522685,9.886966003656447,4.338041455402675,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,1.9957473656549993,21.18656158351466,-1.6259598394470234,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-24.184285163239128,-4.831090290967001,-26.8106430392469,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,2.1980851085357216,18.550971278054988,-8.864710744882963,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-2.454587287609421,8.87532930626181,-7.306683622596105,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-7.111331815710628,2.6872085540287287,-25.311465932596153,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,5.8294344834738965,10.836253000598482,-1.3985952619245978,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,20.727063969335546,26.93499495664983,17.364559298419913,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-31.155529667792102,-18.509015696574878,-44.233314080742005,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,3.135459781866821,22.17519707187669,-5.649503376860684,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-35.11943353188238,-24.935813594194812,-42.205221106323606,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,45.450046224504476,51.18391865676991,43.01808557185507,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-48.765077468304476,-30.949808596584422,-51.07793086485197,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,49.5104796045091,61.98452327037606,45.0077320026186,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,21.69069148341815,41.08526084970027,10.396951052917109,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,45.04737793758362,50.92974354561495,40.930000641581486,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,7.566813909313652,24.583396722096058,-10.95379081873904,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,33.63379514495493,34.75045176021174,27.349165247280112,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-29.726081615171672,-15.640800834981922,-30.36677252728804,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-32.62893799069941,-30.475305362477535,-50.19725230825448,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-44.525172099445065,-27.040338772606077,-59.97437028961282,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-10.447222329835235,3.5969769107551137,-10.769472492777606,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-6.122594831359876,-1.6214543783572601,-12.866418890970795,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,28.017955539008867,41.3915046067127,18.418411207539812,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,3.4897653150398753,10.869584173128407,-12.932093930039041,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-43.49527218010356,-39.76593946000314,-63.32073932953102,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-46.627031499863456,-35.51369217853532,-57.70804431436769,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-11.699279764544045,-4.76293318828821,-20.698016504692166,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-21.944410058553764,-13.049990098427214,-33.88676361435449,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-8.694997693103566,-4.982141607007463,-28.444014775067096,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,30.131299769313586,47.167802390200976,19.622119590582457,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-37.724094843067746,-23.93175014952658,-42.14523030871725,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-1.6709188745722798,6.261020302747096,-9.709349245495064,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,46.64214916464448,48.35040631695337,39.66716213352221,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-18.353433636466644,-0.9291108403975201,-19.384545419680006,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,0.9215398620005786,2.3314211602082744,-18.21803029045347,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,42.43996999667672,50.82678178466025,41.3944882428988,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-42.45963115391238,-25.47606301459369,-55.55739419325401,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-45.4547834173202,-30.990748716855045,-52.672197632188684,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,32.52619251832374,42.88283683889805,29.04543512191393,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,17.486827306791213,20.587327004440446,11.3264854662112,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,2.0394388711173193,15.055383643494052,-14.98794319325254,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-4.11126348217222,15.671766267785845,-15.9065953076934,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-48.04860484486263,-38.72889445601454,-53.62521413263097,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-23.918708665277777,-10.906657758387466,-31.045095186471947,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,38.702488628291846,43.34602120226507,34.151616113001054,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-20.587053158043933,-5.691718053577217,-30.894166580650598,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-17.96633974228329,-1.4964026475114132,-24.85885907618065,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-3.130437192318084,6.679790422884299,-10.394963369188979,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,45.916502113582,54.477272514987895,38.13601973473598,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,7.767358059640664,21.134573981348215,5.869054695172672,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,15.813917267834867,23.436355404651852,11.806304146869891,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-39.721085018968594,-24.238799751482986,-40.41447951816544,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-12.54983753836779,-6.210888227679705,-21.308523251643752,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-10.69010642368815,-7.302202203118414,-28.7636949993193,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-18.8282800362076,-13.81883189332046,-37.429186082199415,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-11.215361857112114,7.292055484198439,-16.985532411943517,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-25.90867525842834,-11.57873731866791,-27.425624410947428,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-33.63262416392154,-27.52172418263894,-44.43931728193126,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-26.166279339334984,-16.60561128907902,-33.827897587764745,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-7.973789026141112,10.08355355313305,-19.658128552971505,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,40.58813160993246,55.34738349209252,32.24262668005693,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-5.641463530741106,4.803979093241036,-22.719140694264183,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,35.54771615517576,45.7497125182051,23.14344547661498,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-39.4284500099647,-33.34516055559967,-58.5263132228918,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-38.127243145410205,-23.467768582319437,-55.895846631247124,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,15.389260969412732,34.87121504117795,1.9960565444196128,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-7.635675649487119,10.900128090716517,-23.897685758726,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-49.90428429118242,-42.218231652517446,-55.52877918599788,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-34.81125230226087,-33.02818671873816,-42.05239919649824,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,43.1170457874247,59.50647080123734,23.659024788340904,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-42.31783573155049,-37.303983941946974,-46.13015568434574,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-40.48717703998827,-21.22957451460283,-50.648503628353026,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,2.740122693736538,11.561211880199334,-12.221867613090707,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-16.923792400453365,-16.509485547866383,-36.6799952710905,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-21.512864207615312,-15.669718680301685,-26.746422843569704,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-2.961321668107985,7.31653118590247,-9.74620262140531,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-40.61418135179018,-30.645376106857874,-42.52093582001905,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-42.3037149645795,-22.99782846209131,-46.263944358723194,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,27.248313172202373,46.709107846582654,24.65198396537889,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-26.465411950797147,-6.708813309071736,-31.62447572811885,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,40.828204376932675,44.027780319340245,36.63372105100044,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,14.63809514214789,24.402970886398077,-4.82548685359437,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,19.971139593515133,35.426181665644435,13.181111438893991,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-40.87297471239766,-32.587926476317406,-56.860807861301815,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-29.6015499691484,-16.173903401370445,-35.83778488876496,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,25.56677730153477,42.394089609249875,13.46769050500421,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-16.553902691259914,-16.13612053588419,-20.04277497892638,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-22.923360364509872,-13.156427566732638,-34.97403214784865,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,20.885999262612714,29.24691716126504,15.327744842053459,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-20.954134012522907,-2.9157017395008396,-35.144560360420726,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-10.170512124607086,-4.475835066896924,-21.922532321317874,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-34.22101654576514,-17.91143650250581,-43.96153016287524,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-18.488802940711267,-7.918702742179336,-26.80037722311662,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-34.08463731932573,-21.816949499115548,-52.14557329527412,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,9.695880614133188,26.47167077649257,4.266690484902391,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-33.06615802170203,-29.807940905991796,-40.94594281262045,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-44.90557956580295,-39.04876154472868,-52.17790357898602,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-46.64183828379621,-36.824224229709046,-53.720394865196866,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-13.379371012846832,-5.1201837593337665,-22.620734923455785,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-4.808563742718107,-2.523789647454043,-7.382578447303059,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,3.3542635639023572,22.538374177124584,-4.759648333130002,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,26.620843386376194,35.54543843332801,9.213617122849897,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-10.5158533439498,-8.521897156922261,-20.143434402709506,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-34.02669706482251,-28.36987299491942,-52.89596454959559,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,10.032192018166484,21.25608775608375,9.38318633793392,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,36.57967630628636,45.24826673982743,18.562181743604054,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-29.689934041341605,-23.668896847505327,-30.77204003260392,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-36.89332869303502,-17.025566620241342,-50.09179748935591,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-21.536025408304347,-5.674419327067952,-40.919509048516936,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,40.52975226452152,44.50929653730253,20.901907494979227,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-28.837348059563606,-18.834382753206388,-39.26178359059055,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,2.6338253635100557,5.304735527903468,-4.078199689525977,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,35.002480585726275,48.92495912413183,16.93871796789923,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,36.677641376919865,48.89272523170078,35.76089532055033,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-42.83649253056531,-32.00226656930192,-61.34389175787498,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-40.28812346718627,-38.6012532832727,-57.813489706503034,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-3.4092924686952273,0.23928551027364042,-15.73763393492605,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-23.517107497597266,-10.830407974656158,-41.17557353916994,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,28.2005662610903,43.09572808980037,26.34290561481846,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,4.127988038628217,20.550129326290538,2.3625297125099807,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,36.04043720495591,45.881650899335966,27.005929406308127,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-22.451653679930327,-21.1967688939706,-38.12996620802635,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,37.85704248611357,57.264535274052285,29.249387244452514,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-7.819458207642683,-3.180661715815585,-9.760818057967025,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-43.069309277742974,-40.71347209103139,-53.684594871694266,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-45.461914010634416,-25.80898589583022,-63.7252024742422,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,41.42392184983491,59.65023835669511,33.35772326249109,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,11.66455087397781,27.162644153788392,-6.899540382050095,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-39.238139825521536,-27.97765879601479,-45.34310972685359,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,5.635050120531659,12.300549399309517,-3.0517410912552183,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-9.978869701942116,-0.5599191484591408,-26.36229263485949,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,5.829051738740674,14.585655771117894,0.602017645609136,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-48.79810179732682,-30.750446379486636,-59.31335513170298,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-44.585119777895244,-34.93705985078235,-50.53754989762238,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-38.10901589274018,-27.952108345950755,-50.40706648698618,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,21.693595374786568,25.76019917955614,11.350972497532828,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,13.82905043587391,24.457555101505115,-0.9856308602176078,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,42.38531053541004,44.066036672382346,28.540008983147512,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-46.64688433937747,-29.492382182063093,-52.58842939663522,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-37.911149935916626,-22.74174707037336,-42.513488899559746,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-39.836635306039035,-26.421831079306266,-58.52449242788721,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-1.0780160836644797,2.2376013381135147,-16.200030672025,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-39.78739984285939,-31.110315552854033,-47.47452865145171,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-2.3008278732305953,15.28424507152521,-4.725904890006705,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-14.078723318388683,5.389838950406311,-19.704915010168843,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-45.397282703225336,-27.55117031682841,-47.96482738155047,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-4.455368473405649,-1.439230068436789,-18.304732694555916,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-17.22672474974997,-6.4962093977519455,-24.25650426906497,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-20.87913630561361,-11.248802401457487,-26.84966609140623,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,42.01844853993546,60.65704705939551,22.086280580574538,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,18.110322698691718,20.998743052720812,15.259674802820596,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
